# POINTS: 12
# Depth (m)        Viscosity (Pa s)
depth viscosity
0.0000000e+00    1.0000000e+23
2.0000000e+05    1.0000000e+23
2.0100000e+05    1.0000000e+21
5.5000000e+05    1.0000000e+21
5.5100000e+05    3.2000000e+21
6.6000000e+05    3.2000000e+21
6.6100000e+05    1.0000000e+22
7.8300000e+05    1.0000000e+22
7.8400000e+05    3.2000000e+22
9.0000000e+05    3.2000000e+22
9.0100000e+05    1.0000000e+23
2.8910000e+06    1.0000000e+23
