# POINTS: 12
# Depth (m)        Viscosity (Pa s)
depth viscosity
0.0000000e+00    1.0000000e+23
2.0000000e+05    1.0000000e+23
2.0100000e+05    3.2000000e+20
5.5000000e+05    3.2000000e+20
5.5100000e+05    7.5000000e+20
6.6000000e+05    7.5000000e+20
6.6100000e+05    1.8000000e+21
7.8300000e+05    1.8000000e+21
7.8400000e+05    4.2000000e+21
9.0000000e+05    4.2000000e+21
9.0100000e+05    1.0000000e+22
2.8910000e+06    1.0000000e+22
